pid,event,time,fac_race,fac_sex,fac_reason,fac_search,fac_pubemp
0,1,4,white,male,reentr,yes,yes
1,0,7,white,male,lose,no,no
2,0,1,nonwhite,male,lose,no,no
3,1,1,nonwhite,male,reentr,no,no
4,1,3,nonwhite,female,reentr,no,no
5,1,1,white,female,reentr,no,no
6,0,65,white,male,lose,yes,yes
7,0,4,white,female,reentr,no,no
8,0,113,white,female,reentr,no,no
9,1,9,white,male,leave,yes,no
10,1,9,white,male,leave,yes,no
11,0,104,white,male,leave,yes,no
12,0,21,white,female,reentr,no,yes
13,0,20,white,female,lose,no,no
14,1,8,white,male,reentr,no,no
15,1,104,white,female,lose,yes,no
16,1,20,white,male,lose,no,no
17,1,56,nonwhite,female,reentr,no,no
18,0,61,white,female,lose,no,yes
19,0,3,white,female,leave,no,no
20,0,2,white,female,reentr,yes,no
21,1,1,white,female,lose,no,no
22,1,22,white,female,leave,no,yes
23,1,12,nonwhite,male,reentr,no,no
24,1,7,nonwhite,female,reentr,no,no
25,1,104,nonwhite,male,reentr,yes,yes
26,0,12,white,female,new,no,no
27,0,17,white,female,lose,yes,no
28,0,17,white,male,reentr,no,no
29,1,1,white,male,reentr,no,no
30,1,12,white,male,lose,no,no
31,0,10,white,male,lose,no,no
32,0,1,white,male,leave,no,no
33,1,10,nonwhite,female,lose,no,yes
34,1,108,white,male,lose,no,no
35,1,104,white,female,lose,yes,no
36,0,11,nonwhite,female,new,no,no
37,1,56,white,female,leave,yes,no
38,0,65,white,male,reentr,no,no
39,1,7,white,male,reentr,no,yes
40,1,35,nonwhite,female,lose,no,no
41,0,61,white,female,lose,no,no
42,1,56,nonwhite,female,leave,no,no
43,1,3,nonwhite,male,reentr,yes,no
44,0,35,nonwhite,male,leave,no,no
45,1,13,white,female,leave,yes,no
46,1,2,nonwhite,female,lose,yes,no
47,0,9,white,female,lose,no,no
48,0,6,white,male,new,no,no
49,0,3,white,female,lose,no,no
50,1,104,white,male,reentr,yes,yes
51,0,16,nonwhite,female,lose,yes,no
52,1,1,white,female,new,no,no
53,0,7,white,female,new,yes,yes
54,0,65,white,male,reentr,no,yes
55,1,9,white,female,reentr,no,no
56,1,2,white,female,leave,yes,no
57,0,5,white,male,lose,no,no
58,1,2,white,female,leave,yes,yes
59,1,2,white,female,lose,no,no
60,1,8,white,female,lose,no,yes
61,1,7,white,male,reentr,no,no
62,1,1,white,male,reentr,no,no
63,0,13,white,female,lose,no,no
64,0,12,white,female,lose,yes,no
65,0,8,white,male,lose,yes,no
66,0,61,white,female,reentr,yes,no
67,0,17,white,female,reentr,no,no
68,0,26,nonwhite,female,new,no,no
69,1,16,nonwhite,female,reentr,no,no
70,1,2,nonwhite,female,reentr,no,no
71,0,5,nonwhite,female,reentr,no,no
72,0,3,nonwhite,female,reentr,no,no
73,1,16,white,female,reentr,no,no
74,0,26,white,female,reentr,yes,no
75,0,4,white,male,lose,yes,no
76,1,13,white,female,new,no,no
77,0,58,white,male,lose,no,no
78,1,14,white,male,lose,yes,no
79,0,1,white,female,lose,no,no
80,0,15,white,male,lose,no,no
81,0,1,white,female,reentr,no,no
82,0,7,white,male,leave,no,no
83,1,10,white,male,lose,yes,yes
84,1,18,white,female,reentr,no,no
85,0,48,white,male,lose,no,yes
86,1,21,white,male,lose,no,no
87,0,12,white,male,reentr,no,no
88,1,3,white,female,lose,no,no
89,0,56,white,male,leave,no,no
90,0,15,white,female,reentr,no,yes
91,0,3,white,male,lose,no,no
92,1,2,white,female,reentr,no,no
93,1,3,white,male,lose,no,no
94,0,12,white,female,new,no,no
95,1,1,white,male,lose,no,no
96,1,3,white,male,lose,yes,no
97,1,5,white,male,lose,no,yes
98,1,2,white,female,lose,yes,yes
99,0,8,white,male,leave,no,no
100,0,9,white,male,reentr,no,no
101,1,26,white,female,reentr,yes,no
102,0,1,white,male,lose,no,no
103,1,7,white,female,reentr,no,no
104,1,6,white,female,new,no,no
105,1,5,white,male,reentr,no,no
106,1,4,nonwhite,female,lose,yes,no
107,0,9,nonwhite,male,reentr,no,yes
108,1,5,nonwhite,male,new,no,no
109,1,12,white,female,reentr,no,no
110,0,4,white,female,reentr,yes,no
111,0,65,nonwhite,female,leave,no,no
112,1,8,nonwhite,female,reentr,no,yes
113,1,8,nonwhite,female,new,no,no
114,1,22,nonwhite,female,reentr,no,no
115,0,19,nonwhite,female,new,no,no
116,1,38,nonwhite,male,leave,no,no
117,0,25,nonwhite,male,lose,no,yes
118,0,12,nonwhite,female,reentr,yes,no
119,1,26,nonwhite,male,lose,yes,no
120,1,2,white,male,reentr,yes,no
121,1,8,nonwhite,female,lose,no,no
122,1,6,nonwhite,female,new,no,no
123,0,2,white,male,reentr,no,no
124,1,1,white,male,reentr,no,no
125,0,1,white,male,leave,no,no
126,1,3,white,male,reentr,no,no
127,1,52,white,male,leave,yes,no
128,1,1,white,male,lose,no,no
129,0,1,white,male,lose,no,no
130,0,2,white,male,reentr,yes,no
131,1,1,white,female,lose,no,no
132,1,2,white,female,lose,no,no
133,1,20,white,female,reentr,no,yes
134,1,35,white,male,reentr,no,no
135,1,16,white,female,reentr,yes,yes
136,0,22,white,male,leave,yes,yes
137,0,1,white,female,reentr,yes,no
138,0,12,nonwhite,female,reentr,no,yes
139,0,11,nonwhite,male,leave,no,yes
140,0,12,nonwhite,male,leave,no,yes
141,1,7,nonwhite,male,leave,yes,yes
142,1,21,white,male,lose,no,no
143,0,27,white,male,leave,yes,no
144,0,23,white,male,reentr,yes,no
145,1,3,white,female,lose,no,no
146,1,22,nonwhite,male,new,yes,no
147,1,4,white,female,leave,no,no
148,1,39,white,male,lose,yes,no
149,0,26,white,female,lose,no,no
150,0,19,white,female,new,no,no
151,1,16,nonwhite,male,new,no,no
152,0,11,white,female,reentr,yes,no
153,0,17,white,male,leave,no,yes
154,0,10,white,female,lose,no,no
155,0,8,white,female,new,no,no
156,0,25,nonwhite,female,lose,yes,yes
157,0,48,white,male,leave,no,no
158,1,2,white,male,leave,yes,no
159,0,21,white,male,lose,yes,yes
160,1,7,nonwhite,male,new,no,no
161,0,23,white,male,lose,no,yes
162,1,6,white,male,lose,no,no
163,1,1,nonwhite,female,reentr,yes,yes
164,1,43,nonwhite,male,lose,yes,no
165,1,3,white,female,reentr,yes,no
166,1,26,white,female,leave,no,yes
167,1,0,white,female,new,no,no
168,0,3,white,female,leave,yes,no
169,1,78,white,male,lose,no,no
170,1,13,white,male,reentr,no,no
171,1,13,white,female,lose,no,no
172,1,52,white,female,new,no,no
173,0,52,white,male,lose,no,no
174,0,2,white,female,reentr,yes,no
175,1,104,white,female,leave,no,no
176,1,7,white,female,leave,no,yes
177,1,4,white,male,reentr,yes,no
178,1,16,white,female,reentr,yes,no
179,1,35,nonwhite,female,reentr,no,no
180,1,6,white,male,leave,no,no
181,0,17,white,male,leave,no,no
182,0,4,nonwhite,female,lose,no,no
183,1,5,white,male,lose,no,no
184,1,38,white,male,lose,yes,no
185,0,4,white,female,reentr,yes,no
186,1,12,white,female,leave,yes,yes
187,1,30,white,male,reentr,no,no
188,0,4,white,female,reentr,no,no
189,0,1,nonwhite,female,reentr,no,no
190,1,6,white,male,new,no,no
191,1,2,white,male,leave,yes,no
192,0,25,white,male,reentr,no,no
193,0,9,white,male,lose,no,no
194,1,4,white,female,reentr,no,no
195,0,61,white,male,reentr,no,yes
196,1,3,white,female,new,yes,no
197,1,22,white,male,reentr,no,no
198,1,11,white,male,lose,no,no
199,1,2,white,male,lose,no,no
200,0,48,white,male,lose,no,yes
201,1,1,white,male,lose,no,no
202,1,16,white,female,reentr,no,yes
203,0,15,white,male,lose,yes,yes
204,0,26,white,male,lose,no,yes
205,0,16,white,male,lose,no,yes
206,1,8,white,female,reentr,no,no
207,0,8,white,male,leave,yes,yes
208,1,1,white,female,reentr,no,yes
209,0,7,white,male,leave,no,yes
210,0,7,white,female,lose,no,yes
211,0,43,white,female,lose,no,yes
212,1,4,white,female,leave,yes,no
213,0,61,white,male,lose,no,no
214,0,39,white,male,leave,no,yes
215,1,4,nonwhite,female,reentr,no,no
216,1,1,nonwhite,female,leave,no,no
217,0,2,white,male,lose,no,no
218,1,39,white,male,leave,yes,yes
219,1,12,white,male,lose,yes,yes
220,0,4,white,male,leave,yes,no
221,1,8,white,female,reentr,no,no
222,0,10,white,male,lose,no,no
223,1,7,nonwhite,male,leave,no,no
224,0,4,white,female,lose,no,no
225,1,1,white,male,lose,no,no
226,1,7,nonwhite,female,reentr,yes,no
227,1,3,nonwhite,male,reentr,no,no
228,0,12,white,female,leave,no,yes
229,1,3,white,female,leave,yes,no
230,0,4,white,male,leave,yes,yes
231,0,117,white,male,lose,no,yes
232,0,35,nonwhite,female,reentr,no,no
233,0,6,white,male,leave,yes,no
234,0,9,nonwhite,female,new,no,no
235,0,100,white,male,lose,no,yes
236,1,26,white,female,new,yes,no
237,1,8,white,male,reentr,no,no
238,0,9,white,male,lose,no,no
239,1,2,white,male,leave,yes,no
240,1,16,white,female,new,no,no
241,1,8,nonwhite,male,lose,no,no
242,1,4,white,male,lose,yes,no
243,0,109,nonwhite,female,lose,no,yes
244,0,49,nonwhite,male,reentr,no,yes
245,0,1,nonwhite,male,reentr,yes,no
246,1,12,nonwhite,female,reentr,yes,no
247,0,61,nonwhite,male,lose,no,yes
248,1,2,nonwhite,male,lose,no,no
249,0,17,nonwhite,female,lose,no,no
250,1,60,white,female,lose,no,no
251,1,112,white,female,reentr,no,no
252,1,52,white,female,lose,no,no
253,0,17,white,male,lose,yes,no
254,0,8,nonwhite,male,new,no,no
255,1,104,nonwhite,female,new,yes,yes
256,0,65,nonwhite,male,lose,no,no
257,1,6,white,female,lose,no,yes
258,0,29,white,male,lose,no,yes
259,1,8,nonwhite,male,lose,yes,no
260,1,26,white,male,leave,yes,no
261,1,1,white,male,leave,yes,no
262,1,16,white,male,reentr,no,yes
263,1,6,white,male,lose,yes,yes
264,0,30,white,male,lose,no,no
265,1,3,white,female,leave,no,no
266,1,12,white,female,lose,no,no
267,1,12,white,male,leave,no,no
268,1,8,white,male,leave,no,no
269,1,13,white,female,new,yes,no
270,1,16,white,male,lose,yes,no
271,1,6,white,male,lose,yes,no
272,0,43,white,male,leave,no,no
273,0,52,white,female,reentr,yes,no
274,0,12,white,female,new,no,no
275,0,6,white,female,reentr,no,no
276,0,1,white,male,reentr,yes,no
277,0,13,white,female,lose,no,no
278,0,47,nonwhite,male,lose,no,no
279,1,4,white,male,reentr,yes,no
280,0,4,white,male,leave,no,no
281,1,3,white,male,lose,no,no
282,1,12,white,male,reentr,no,yes
283,1,12,white,female,leave,yes,no
284,1,3,white,male,leave,no,no
285,0,23,white,female,reentr,no,no
286,0,2,nonwhite,female,leave,yes,no
287,0,39,white,male,lose,no,no
288,0,39,white,male,lose,no,no
289,1,2,white,male,new,no,no
290,0,24,white,female,reentr,no,yes
291,1,43,white,male,lose,yes,no
292,0,6,nonwhite,female,reentr,yes,no
293,1,7,nonwhite,female,reentr,yes,no
294,1,4,nonwhite,male,reentr,yes,no
295,1,2,white,female,leave,no,no
296,1,1,white,female,reentr,no,no
297,1,1,nonwhite,female,lose,no,no
298,0,17,nonwhite,female,reentr,no,no
299,0,104,nonwhite,female,reentr,no,no
300,1,1,white,female,lose,no,no
301,1,4,white,male,new,no,no
302,1,8,white,female,reentr,yes,no
303,0,35,white,male,lose,yes,no
304,1,1,white,female,reentr,no,no
305,1,16,nonwhite,female,leave,yes,yes
306,0,15,white,female,lose,no,no
307,0,15,white,female,reentr,no,no
308,0,11,white,female,reentr,no,no
309,1,1,white,female,reentr,no,no
310,0,2,white,female,new,no,no
311,0,61,white,male,leave,yes,no
312,1,39,nonwhite,male,lose,no,no
313,0,11,nonwhite,male,lose,no,no
314,0,4,white,male,leave,yes,yes
315,0,13,white,female,reentr,yes,no
316,1,20,white,male,leave,no,no
317,0,15,nonwhite,male,leave,no,yes
318,1,69,white,male,lose,yes,yes
319,1,20,white,female,reentr,no,no
320,0,4,white,male,lose,yes,no
321,1,43,white,male,lose,no,no
322,1,20,white,female,reentr,no,no
323,1,11,white,male,lose,yes,yes
324,1,3,white,female,new,yes,no
325,1,4,white,male,reentr,no,no
326,1,10,white,male,lose,yes,yes
327,0,8,white,female,reentr,yes,no
328,1,1,white,female,reentr,yes,no
329,1,8,nonwhite,female,lose,no,no
330,0,35,white,male,lose,yes,no
331,1,12,white,male,reentr,no,no
332,0,52,nonwhite,female,reentr,no,no
333,0,25,nonwhite,female,reentr,no,no
334,0,26,nonwhite,male,new,no,no
335,0,18,nonwhite,female,leave,no,no
336,1,2,nonwhite,male,lose,no,no
337,0,28,nonwhite,female,lose,yes,no
338,1,2,white,male,lose,no,no
339,1,11,white,male,lose,no,no
340,1,1,nonwhite,female,reentr,no,no
341,1,2,nonwhite,male,lose,no,no
342,1,17,white,male,lose,yes,no
343,1,6,white,male,lose,no,no
344,1,2,white,female,lose,no,no
345,1,1,white,female,reentr,yes,no
346,1,8,white,female,reentr,no,no
347,0,7,white,male,lose,no,no
348,1,14,nonwhite,female,leave,no,yes
349,0,9,nonwhite,female,leave,yes,yes
350,1,1,white,male,lose,yes,yes
351,0,1,white,female,lose,yes,no
352,1,17,nonwhite,female,reentr,yes,no
353,0,29,nonwhite,male,lose,no,yes
354,1,4,white,male,new,no,no
355,0,9,nonwhite,male,leave,yes,no
356,1,26,white,male,leave,no,no
357,0,39,white,female,leave,no,no
358,0,3,nonwhite,male,lose,no,no
359,0,17,white,male,leave,no,no
360,0,19,nonwhite,male,lose,no,no
361,0,29,nonwhite,male,lose,no,yes
362,1,2,white,female,lose,no,no
363,0,13,nonwhite,male,lose,yes,yes
364,1,30,nonwhite,male,reentr,no,no
365,1,4,nonwhite,male,new,yes,yes
366,0,1,white,female,lose,no,no
367,0,5,nonwhite,male,lose,no,no
368,0,6,nonwhite,male,reentr,yes,yes
369,1,1,white,female,lose,no,no
370,1,4,white,male,reentr,yes,yes
371,1,15,white,male,leave,no,no
372,1,2,white,male,leave,yes,no
373,1,6,white,female,lose,yes,no
374,0,2,white,male,leave,no,no
375,0,29,white,male,lose,no,no
376,1,1,white,male,reentr,no,no
377,1,2,white,female,reentr,yes,no
378,1,12,white,female,lose,no,no
379,1,35,white,male,reentr,no,no
380,1,13,white,male,lose,no,yes
381,0,17,white,male,lose,yes,no
382,1,2,white,female,reentr,yes,no
383,1,0,white,male,leave,no,no
384,1,1,white,male,lose,no,no
385,1,10,white,female,lose,yes,yes
386,1,13,nonwhite,male,reentr,yes,yes
387,1,6,white,female,reentr,yes,yes
388,1,1,white,female,lose,no,no
389,1,6,white,male,new,no,no
390,1,52,white,male,lose,yes,no
391,1,8,white,male,new,yes,no
392,0,12,white,female,new,no,no
393,1,26,nonwhite,male,leave,no,yes
394,1,52,white,female,reentr,no,yes
395,1,9,nonwhite,male,lose,yes,no
396,0,12,white,male,lose,no,no
397,0,22,white,female,lose,no,no
398,1,16,white,female,reentr,yes,no
399,1,2,white,female,reentr,no,no
400,0,61,white,female,reentr,no,no
401,1,2,nonwhite,male,leave,yes,no
402,0,52,white,female,reentr,no,no
403,1,9,nonwhite,female,new,no,no
404,1,39,white,male,leave,no,no
405,1,26,white,male,lose,no,yes
406,1,8,white,male,leave,no,no
407,1,3,white,male,lose,no,no
408,1,5,white,female,lose,no,no
409,0,6,nonwhite,male,reentr,yes,no
410,1,52,nonwhite,male,reentr,yes,no
411,0,3,nonwhite,female,reentr,no,no
412,1,4,nonwhite,male,reentr,no,no
413,1,20,nonwhite,female,leave,no,no
414,1,2,nonwhite,male,reentr,no,no
415,0,3,nonwhite,male,lose,no,no
416,1,52,white,male,lose,yes,yes
417,0,21,white,male,reentr,no,no
418,0,65,white,male,leave,no,no
419,0,4,white,female,new,no,no
420,1,3,white,male,reentr,yes,no
421,1,4,white,male,leave,yes,no
422,0,52,white,female,lose,no,no
423,0,16,white,female,reentr,yes,yes
424,1,86,white,male,lose,no,yes
425,1,12,white,male,lose,yes,yes
426,1,1,white,male,leave,no,no
427,0,17,white,female,leave,no,no
428,1,4,white,male,leave,no,no
429,0,34,white,male,lose,no,no
430,1,1,white,female,reentr,no,no
431,0,38,white,male,lose,yes,no
432,0,21,white,male,leave,no,yes
433,1,60,white,female,lose,no,no
434,1,2,white,male,lose,yes,no
435,0,14,white,male,lose,no,yes
436,1,1,white,male,lose,no,no
437,1,8,nonwhite,female,leave,no,no
438,0,1,white,female,reentr,yes,no
439,0,4,white,male,lose,no,no
440,1,3,nonwhite,male,leave,no,no
441,0,2,white,male,reentr,no,no
442,1,4,white,female,lose,no,no
443,1,30,white,female,reentr,yes,no
444,0,6,white,male,reentr,no,no
445,1,7,white,male,leave,no,no
446,1,6,white,female,leave,no,no
447,0,43,nonwhite,female,lose,no,no
448,1,12,nonwhite,female,reentr,no,no
449,1,52,white,female,leave,no,no
450,1,12,nonwhite,female,reentr,no,no
451,0,21,white,male,reentr,no,no
